[2026-03-12 14:34:23.439] Controller: Unknown | Action: Unknown | User: Anonymous | Duration: 0ms
[2026-03-12 14:34:23.461] Controller: Unknown | Action: Unknown | User: Anonymous | Duration: 0ms
[2026-03-12 14:34:32.468] Controller: Unknown | Action: Unknown | User: Anonymous | Duration: 0ms
[2026-03-12 14:34:32.512] Controller: Auth | Action: GetGoogleId | User: Anonymous | Duration: 0ms
[2026-03-12 14:34:32.552] Controller: Unknown | Action: Unknown | User: Anonymous | Duration: 0ms
[2026-03-12 14:34:39.559] Controller: Auth | Action: Login | User: Anonymous | Duration: 0ms
[2026-03-12 14:34:39.610] Controller: Unknown | Action: Unknown | User: Anonymous | Duration: 0ms
[2026-03-12 14:34:39.633] Controller: Unknown | Action: Unknown | User: tovi | Duration: 0ms
[2026-03-12 14:34:39.634] Controller: Jewelry | Action: Get | User: tovi | Duration: 27ms
[2026-03-12 14:34:39.665] Controller: Unknown | Action: Unknown | User: tovi | Duration: 0ms
[2026-03-12 14:34:39.672] Controller: Unknown | Action: Unknown | User: tovi | Duration: 0ms
[2026-03-12 14:34:39.671] Controller: Unknown | Action: Unknown | User: tovi | Duration: 1ms
[2026-03-12 14:34:39.683] Controller: Unknown | Action: Unknown | User: tovi | Duration: 90008ms
[2026-03-12 14:36:09.812] Controller: Unknown | Action: Unknown | User: tovi | Duration: 90008ms
[2026-03-12 14:37:39.825] Controller: Unknown | Action: Unknown | User: tovi | Duration: 90010ms
[2026-03-12 14:39:09.841] Controller: Unknown | Action: Unknown | User: tovi | Duration: 90002ms
[2026-03-12 14:40:39.846] Controller: Unknown | Action: Unknown | User: tovi | Duration: 90013ms
[2026-03-12 14:42:09.867] Controller: Unknown | Action: Unknown | User: tovi | Duration: 1709ms
[2026-03-12 14:44:09.670] Controller: Unknown | Action: Unknown | User: Anonymous | Duration: 32ms
[2026-03-12 14:44:09.670] Controller: Auth | Action: GetGoogleId | User: Anonymous | Duration: 64ms
[2026-03-12 14:44:18.223] Controller: Auth | Action: Login | User: Anonymous | Duration: 36ms
[2026-03-12 14:44:18.300] Controller: Unknown | Action: Unknown | User: tamarRotan | Duration: 32ms
[2026-03-12 14:44:18.299] Controller: Jewelry | Action: Get | User: tamarRotan | Duration: 60ms
[2026-03-12 14:44:18.356] Controller: Unknown | Action: Unknown | User: tamarRotan | Duration: 8ms
[2026-03-12 14:44:18.367] Controller: Unknown | Action: Unknown | User: tamarRotan | Duration: 2ms
[2026-03-12 14:44:18.367] Controller: Unknown | Action: Unknown | User: tamarRotan | Duration: 8ms
[2026-03-12 14:44:40.373] Controller: User | Action: Get | User: tamarRotan | Duration: 7ms
[2026-03-12 14:45:00.038] Controller: User | Action: Create | User: tamarRotan | Duration: 17ms
[2026-03-12 14:45:01.397] Controller: User | Action: Get | User: tamarRotan | Duration: 0ms
[2026-03-12 14:45:03.650] Controller: Unknown | Action: Unknown | User: tamarRotan | Duration: 0ms
[2026-03-12 14:45:03.653] Controller: Jewelry | Action: Get | User: tamarRotan | Duration: 0ms
[2026-03-12 14:45:03.660] Controller: Unknown | Action: Unknown | User: tamarRotan | Duration: 1ms
[2026-03-12 14:45:03.667] Controller: Unknown | Action: Unknown | User: tamarRotan | Duration: 0ms
[2026-03-12 14:45:03.667] Controller: Unknown | Action: Unknown | User: tamarRotan | Duration: 5ms
[2026-03-12 14:45:03.674] Controller: Unknown | Action: Unknown | User: tamarRotan | Duration: 7312ms
[2026-03-12 14:44:18.382] Controller: Unknown | Action: Unknown | User: tamarRotan | Duration: 52604ms
[2026-03-12 14:45:10.972] Controller: Jewelry | Action: Create | User: tamarRotan | Duration: 14ms
[2026-03-12 14:45:10.995] Controller: Jewelry | Action: Get | User: tamarRotan | Duration: 0ms
[2026-03-12 14:45:18.524] Controller: Jewelry | Action: Create | User: tamarRotan | Duration: 2ms
[2026-03-12 14:45:10.995] Controller: Unknown | Action: Unknown | User: tamarRotan | Duration: 7531ms
[2026-03-12 14:45:18.543] Controller: Jewelry | Action: Get | User: tamarRotan | Duration: 0ms
[2026-03-12 14:45:52.844] Controller: Jewelry | Action: Create | User: tamarRotan | Duration: 1ms
[2026-03-12 14:45:18.543] Controller: Unknown | Action: Unknown | User: tamarRotan | Duration: 34303ms
[2026-03-12 14:45:52.860] Controller: Jewelry | Action: Get | User: tamarRotan | Duration: 0ms
[2026-03-12 14:46:02.004] Controller: Jewelry | Action: Create | User: tamarRotan | Duration: 1ms
[2026-03-12 14:45:52.861] Controller: Unknown | Action: Unknown | User: tamarRotan | Duration: 9144ms
[2026-03-12 14:46:02.020] Controller: Jewelry | Action: Get | User: tamarRotan | Duration: 0ms
[2026-03-12 14:46:02.022] Controller: Jewelry | Action: Get | User: tamarRotan | Duration: 0ms
[2026-03-12 14:46:04.764] Controller: User | Action: Get | User: tamarRotan | Duration: 0ms
[2026-03-12 14:46:33.020] Controller: User | Action: Create | User: tamarRotan | Duration: 1ms
[2026-03-12 14:46:34.525] Controller: User | Action: Get | User: tamarRotan | Duration: 0ms
[2026-03-12 14:46:37.483] Controller: Unknown | Action: Unknown | User: tamarRotan | Duration: 0ms
[2026-03-12 14:46:37.486] Controller: Jewelry | Action: Get | User: tamarRotan | Duration: 0ms
[2026-03-12 14:46:37.495] Controller: Unknown | Action: Unknown | User: tamarRotan | Duration: 0ms
[2026-03-12 14:46:37.498] Controller: Unknown | Action: Unknown | User: tamarRotan | Duration: 0ms
[2026-03-12 14:46:37.498] Controller: Unknown | Action: Unknown | User: tamarRotan | Duration: 1ms
[2026-03-12 14:46:51.278] Controller: Jewelry | Action: Create | User: tamarRotan | Duration: 5ms
[2026-03-12 14:46:02.020] Controller: Unknown | Action: Unknown | User: tamarRotan | Duration: 49263ms
[2026-03-12 14:46:37.504] Controller: Unknown | Action: Unknown | User: tamarRotan | Duration: 13780ms
[2026-03-12 14:46:51.292] Controller: Jewelry | Action: Get | User: tamarRotan | Duration: 0ms
[2026-03-12 14:47:00.043] Controller: Jewelry | Action: Create | User: tamarRotan | Duration: 1ms
[2026-03-12 14:46:51.291] Controller: Unknown | Action: Unknown | User: tamarRotan | Duration: 8754ms
