[2026-03-11 18:53:30.899] Controller: Unknown | Action: Unknown | User: Anonymous | Duration: 90017ms
[2026-03-11 18:53:53.943] Controller: Unknown | Action: Unknown | User: שירה שמש | Duration: 90007ms
[2026-03-11 18:55:00.924] Controller: Unknown | Action: Unknown | User: Anonymous | Duration: 89997ms
[2026-03-11 18:55:23.965] Controller: Unknown | Action: Unknown | User: שירה שמש | Duration: 90004ms
[2026-03-11 18:56:30.931] Controller: Unknown | Action: Unknown | User: Anonymous | Duration: 90003ms
[2026-03-11 18:56:53.977] Controller: Unknown | Action: Unknown | User: שירה שמש | Duration: 90003ms
[2026-03-11 18:58:23.987] Controller: Unknown | Action: Unknown | User: שירה שמש | Duration: 17699ms
[2026-03-11 18:58:00.944] Controller: Unknown | Action: Unknown | User: Anonymous | Duration: 41559ms
[2026-03-11 19:26:11.243] Controller: Auth | Action: GetGoogleId | User: Anonymous | Duration: 107ms
[2026-03-11 19:26:16.624] Controller: Auth | Action: GoogleLogin | User: Anonymous | Duration: 681ms
[2026-03-11 19:26:17.531] Controller: Unknown | Action: Unknown | User: שירה שמש | Duration: 56ms
[2026-03-11 19:26:17.592] Controller: Unknown | Action: Unknown | User: שירה שמש | Duration: 13ms
[2026-03-11 19:26:17.611] Controller: Unknown | Action: Unknown | User: שירה שמש | Duration: 3ms
[2026-03-11 19:26:17.611] Controller: Unknown | Action: Unknown | User: שירה שמש | Duration: 9ms
[2026-03-11 19:26:17.529] Controller: Jewelry | Action: Get | User: שירה שמש | Duration: 93ms
[2026-03-11 19:26:31.201] Controller: User | Action: Get | User: שירה שמש | Duration: 10ms
[2026-03-11 19:26:32.886] Controller: Unknown | Action: Unknown | User: שירה שמש | Duration: 1ms
[2026-03-11 19:26:32.887] Controller: Jewelry | Action: Get | User: שירה שמש | Duration: 5ms
[2026-03-11 19:26:32.915] Controller: Unknown | Action: Unknown | User: שירה שמש | Duration: 1ms
[2026-03-11 19:26:32.923] Controller: Unknown | Action: Unknown | User: שירה שמש | Duration: 0ms
[2026-03-11 19:26:32.923] Controller: Unknown | Action: Unknown | User: שירה שמש | Duration: 1ms
[2026-03-11 19:26:34.035] Controller: Auth | Action: GetGoogleId | User: Anonymous | Duration: 1ms
[2026-03-11 19:26:32.928] Controller: Unknown | Action: Unknown | User: שירה שמש | Duration: 5834ms
[2026-03-11 19:26:17.630] Controller: Unknown | Action: Unknown | User: שירה שמש | Duration: 21132ms
[2026-03-11 19:27:04.358] Controller: Auth | Action: GetGoogleId | User: Anonymous | Duration: 0ms
