[2026-03-16 20:07:15.914] Controller: Unknown | Action: Unknown | User: Anonymous | Duration: 96ms
[2026-03-16 20:07:15.914] Controller: Auth | Action: GetGoogleId | User: Anonymous | Duration: 232ms
[2026-03-16 20:07:41.860] Controller: Auth | Action: Login | User: Anonymous | Duration: 423ms
[2026-03-16 20:07:52.534] Controller: Auth | Action: Login | User: Anonymous | Duration: 110ms
[2026-03-16 20:07:53.404] Controller: Unknown | Action: Unknown | User: tamarRotan | Duration: 218ms
[2026-03-16 20:07:53.399] Controller: Jewelry | Action: Get | User: tamarRotan | Duration: 227ms
[2026-03-16 20:07:53.633] Controller: Unknown | Action: Unknown | User: tamarRotan | Duration: 31ms
[2026-03-16 20:07:53.674] Controller: Unknown | Action: Unknown | User: tamarRotan | Duration: 2ms
[2026-03-16 20:07:53.684] Controller: Unknown | Action: Unknown | User: tamarRotan | Duration: 1ms
[2026-03-16 20:08:05.320] Controller: Jewelry | Action: Create | User: tamarRotan | Duration: 24ms
[2026-03-16 20:07:53.695] Controller: Unknown | Action: Unknown | User: tamarRotan | Duration: 11652ms
[2026-03-16 20:08:05.364] Controller: Unknown | Action: Unknown | User: tamarRotan | Duration: 0ms
[2026-03-16 20:08:05.362] Controller: Jewelry | Action: Get | User: tamarRotan | Duration: 14ms
[2026-03-16 20:08:05.381] Controller: Jewelry | Action: Get | User: tamarRotan | Duration: 0ms
[2026-03-16 20:08:13.319] Controller: Jewelry | Action: Create | User: tamarRotan | Duration: 2ms
[2026-03-16 20:08:05.373] Controller: Unknown | Action: Unknown | User: tamarRotan | Duration: 7950ms
[2026-03-16 20:08:13.343] Controller: Jewelry | Action: Get | User: tamarRotan | Duration: 1ms
[2026-03-16 20:08:13.353] Controller: Jewelry | Action: Get | User: tamarRotan | Duration: 0ms
[2026-03-16 20:08:15.645] Controller: User | Action: Get | User: tamarRotan | Duration: 10ms
[2026-03-16 20:08:42.231] Controller: User | Action: Create | User: tamarRotan | Duration: 8ms
[2026-03-16 20:08:43.916] Controller: User | Action: Get | User: tamarRotan | Duration: 1ms
[2026-03-16 20:09:06.466] Controller: User | Action: Create | User: tamarRotan | Duration: 3ms
[2026-03-16 20:09:08.191] Controller: User | Action: Get | User: tamarRotan | Duration: 0ms
[2026-03-16 20:09:14.998] Controller: Unknown | Action: Unknown | User: tamarRotan | Duration: 1ms
[2026-03-16 20:09:14.999] Controller: Jewelry | Action: Get | User: tamarRotan | Duration: 0ms
[2026-03-16 20:09:15.020] Controller: Unknown | Action: Unknown | User: tamarRotan | Duration: 3ms
[2026-03-16 20:09:15.038] Controller: Unknown | Action: Unknown | User: tamarRotan | Duration: 0ms
[2026-03-16 20:09:15.038] Controller: Unknown | Action: Unknown | User: tamarRotan | Duration: 8ms
[2026-03-16 20:08:13.346] Controller: Unknown | Action: Unknown | User: tamarRotan | Duration: 62440ms
[2026-03-16 20:09:29.128] Controller: Jewelry | Action: Create | User: tamarRotan | Duration: 7ms
[2026-03-16 20:09:15.055] Controller: Unknown | Action: Unknown | User: tamarRotan | Duration: 14083ms
[2026-03-16 20:09:29.160] Controller: Jewelry | Action: Get | User: tamarRotan | Duration: 0ms
[2026-03-16 20:09:48.011] Controller: Jewelry | Action: Create | User: tamarRotan | Duration: 1ms
